#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,run,FOV_corr,CaHK_calib
250.8710625,44.50552222,2654,1,1644.13,3705.16,26.773,0.021,0,403.9,3705.2,,17Am05,,
250.7997875,44.63192222,2654,1,660.88,1248.59,26.774,0.021,0,1387.1,1248.6,,17Am05,,
250.81803333,44.49128889,2654,1,903.0,3989.64,26.78,0.021,0,1145.0,3989.6,,17Am05,,
250.8991875,44.502925,2654,1,2037.11,3751.31,26.783,0.021,-1,10.9,3751.3,,17Am05,,
250.80912917,44.67314722,2654,1,796.05,438.72,26.784,0.021,0,1251.9,438.7,,17Am05,,
250.75777917,44.65664444,2654,1,79.2,770.92,26.789,0.021,0,1968.8,770.9,,17Am05,,
250.77021667,44.51932778,2654,1,238.88,3450.35,26.792,0.021,0,1809.1,3450.4,,17Am05,,
250.78937083,44.65173611,2654,1,518.19,862.14,26.798,0.021,0,1529.8,862.1,,17Am05,,
250.88333333,44.54980833,2654,1,1818.8,2839.71,26.803,0.021,0,229.2,2839.7,,17Am05,,
250.81811667,44.47725278,2654,1,903.33,4262.58,26.81,0.021,0,1144.7,4262.6,,17Am05,,
250.89970833,44.4602,2654,1,2042.16,4582.97,26.81,0.021,0,5.8,4583.0,,17Am05,,
250.77130417,44.47461389,2654,1,250.79,4319.66,26.813,0.021,0,1797.2,4319.7,,17Am05,,
250.772625,44.466275,2654,1,268.96,4481.4,26.815,0.021,-1,1779.0,4481.4,,17Am05,,
250.80372917,44.46869722,2654,1,702.14,4430.72,26.824,0.021,0,1345.9,4430.7,,17Am05,,
250.83810417,44.55566389,2654,1,1187.75,2732.8,26.831,0.021,0,860.2,2732.8,,17Am05,,
250.85877083,44.61912778,2654,1,1482.21,1488.98,26.835,0.021,0,565.8,1489.0,,17Am05,,
250.7910625,44.51993611,2654,1,529.13,3435.92,26.836,0.022,0,1518.9,3435.9,,17Am05,,
250.7799625,44.66171944,2654,1,388.15,667.99,26.846,0.022,0,1659.8,668.0,,17Am05,,
250.762075,44.51503333,2654,1,125.29,3534.93,26.853,0.022,0,1922.7,3534.9,,17Am05,,
250.76300417,44.51481667,2654,1,138.2,3539.02,26.856,0.022,0,1909.8,3539.0,,17Am05,,
250.86668333,44.67473889,2654,1,1599.6,396.59,26.856,0.022,0,448.4,396.6,,17Am05,,
250.78678333,44.50999444,2654,1,468.69,3629.91,26.861,0.022,0,1579.3,3629.9,,17Am05,,
250.77309583,44.631675,2654,1,289.18,1257.66,26.869,0.022,-1,1758.8,1257.7,,17Am05,,
250.82685417,44.60888333,2654,1,1035.76,1694.96,26.872,0.022,0,1012.2,1695.0,,17Am05,,
250.8839375,44.67172222,2654,1,1840.19,452.41,26.884,0.022,0,207.8,452.4,,17Am05,,
250.7630375,44.53525556,2654,1,140.11,3141.26,26.9,0.022,0,1907.9,3141.3,,17Am05,,
250.75481667,44.69003333,2654,1,41.96,116.39,26.901,0.022,-1,2006.0,116.4,,17Am05,,
250.8324375,44.601775,2654,1,1112.77,1833.1,26.903,0.022,0,935.2,1833.1,,17Am05,,
250.858625,44.466775,2654,1,1468.28,4460.9,26.923,0.023,0,579.7,4460.9,,17Am05,,
250.82889167,44.56297222,2654,1,1059.55,2591.63,26.942,0.023,0,988.4,2591.6,,17Am05,,
250.81712083,44.62160278,2654,1,901.12,1447.81,26.976,0.023,0,1146.9,1447.8,,17Am05,,
250.86745,44.52321944,2654,1,1594.92,3360.85,26.981,0.024,0,453.1,3360.9,,17Am05,,
250.83430833,44.462175,2654,1,1128.55,4553.62,26.984,0.024,0,919.4,4553.6,,17Am05,,
250.80957083,44.67972778,2654,1,802.99,309.54,26.989,0.024,0,1245.0,309.5,,17Am05,,
250.7912125,44.47333889,2654,1,528.05,4342.08,26.992,0.024,0,1519.9,4342.1,,17Am05,,
250.81085417,44.53550833,2654,1,805.88,3129.87,26.995,0.024,0,1242.1,3129.9,,17Am05,,
250.7799,44.65656667,2654,1,386.76,768.95,26.999,0.024,0,1661.2,769.0,,17Am05,,
250.79039583,44.66054722,2654,1,533.71,689.25,27.008,0.024,0,1514.3,689.2,,17Am05,,
250.776125,44.52042222,2654,1,321.09,3428.36,27.019,0.024,0,1726.9,3428.4,,17Am05,,
250.86219167,44.60647222,2654,1,1528.56,1736.04,27.036,0.024,0,519.4,1736.0,,17Am05,,
250.86092083,44.67411389,2654,1,1518.98,410.01,27.036,0.024,0,529.0,410.0,,17Am05,,
250.7945625,44.59610278,2654,1,584.38,1950.04,27.036,0.024,0,1463.6,1950.0,,17Am05,,
